,inputs,pred_labels,true_labels,pred_outputs,true_outputs
0,This page explains how <u>[HotCRP.com](https://hotcrp.com/)</u> uses the data you provide and how you can control uses .,Not an ACP,Not an ACP,None,None
1,The opensource HotCRP software also runs on sites we don’t manage; this policy applies only to sites with domains ending in “.hotcrp.com”.,Not an ACP,Not an ACP,None,None
2,(Updated 20200824),Not an ACP,Not an ACP,None,None
3, What we store and why,Not an ACP,Not an ACP,None,None
4,"The HotCRP.com service handles the submission and review of artifacts, such as scientific and engineering publications.",ACP,ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'handle', 'resource': 'submission', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'handle', 'resource': 'review', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'handle', 'resource': 'artifact', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'handle', 'resource': 'submission', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'handle', 'resource': 'review', 'condition': 'none', 'purpose': 'none'}]"
5,"In most cases, The HotCRP.com service does not own the data you provide.",ACP,ACP,"[{'decision': 'deny', 'subject': 'hotcrp.com', 'action': 'own', 'resource': 'data', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'deny', 'subject': 'hotcrp.com', 'action': 'own', 'resource': 'data', 'condition': 'none', 'purpose': 'none'}]"
6,"Rather, The HotCRP.com service broker the data you provide on behalf of scholarly societies, such as ACM and USENIX; on behalf of conference review boards; and on behalf of other site managers.",ACP,ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'broker', 'resource': 'data', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'broker', 'resource': 'data', 'condition': 'none', 'purpose': 'none'}]"
7," The HotCRP.com service store Submission artifacts, including submissions (such as PDFs), metadata (such as titles and author lists), and supplementary information (such as topics and other uploaded files).",ACP,ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'submission artifact', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'submission artifact', 'condition': 'none', 'purpose': 'none'}]"
8," The HotCRP.com service store Review artifacts, including reviews, discussions, and associated uploaded files.",ACP,ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'review artifact', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'review artifact', 'condition': 'none', 'purpose': 'none'}]"
9, The HotCRP.com service store Configuration settings used by site managers to configure a site.,Not an ACP,ACP,"[]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'configuration setting', 'condition': 'none', 'purpose': 'none'}]"
10," The HotCRP.com service store Profile data, such as user names, affiliations, email addresses, topic interests, and review preferences.",ACP,ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'profile data', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'profile data', 'condition': 'none', 'purpose': 'none'}]"
11," The HotCRP.com service store Demographic data, such as user gender identity and approximate age.",ACP,ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'demographic data', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'demographic data', 'condition': 'none', 'purpose': 'none'}]"
12," The HotCRP.com service store Browsing data, such as logs of which sites a computer has accessed.",ACP,ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'browsing data', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'browsing data', 'condition': 'none', 'purpose': 'none'}]"
13, Controlling your information,Not an ACP,Not an ACP,None,None
14,"Submission and review artifacts: When you submit artifacts to a HotCRP.com site, you give a HotCRP.com site managers (e.g., the program chairs) permission to store and view artifacts indefinitely.",ACP,ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'submission', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'review', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'view', 'resource': 'submission', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'view', 'resource': 'review', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'artifact', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'view', 'resource': 'artifact', 'condition': 'none', 'purpose': 'none'}]"
15,"You give that site’s managers (e.g., the program chairs) permission to distribute artifacts at that site’s managers (e.g., the program chairs) discretion, for review or other purposes.",ACP,ACP,"[{'decision': 'allow', 'subject': 'site manager', 'action': 'distribute', 'resource': 'artifact', 'condition': 'none', 'purpose': 'review or other purposes'}]","[{'decision': 'allow', 'subject': 'site manager', 'action': 'distribute', 'resource': 'artifact', 'condition': 'none', 'purpose': 'review or other purposes'}]"
16,"Finally, you give a HotCRP.com site permission to process artifacts and to store artifacts indefinitely.",ACP,ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'artifact', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'process', 'resource': 'artifact', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'store', 'resource': 'artifact', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'process', 'resource': 'artifact', 'condition': 'none', 'purpose': 'none'}]"
17,"Site managers control who can access artifacts, and a HotCRP.com site doesn’t share artifacts except as site managers allow.",ACP,ACP,"[{'decision': 'allow', 'subject': 'site manager', 'action': 'control', 'resource': 'access', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'site', 'action': 'share', 'resource': 'artifact', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'site manager', 'action': 'control', 'resource': 'access', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'hotcrp.com', 'action': 'share', 'resource': 'artifact', 'condition': 'none', 'purpose': 'none'}]"
18,"However, a HotCRP.com site may publicize aggregate information that cannot be traced to any site or user, such as total submission counts across all sites.",ACP,ACP,"[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'publicize', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}]","[{'decision': 'allow', 'subject': 'hotcrp.com', 'action': 'publicize', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}]"
